Timestamp,Total CPU Load,Total Used Memory,Core CPU,Core Memory,Ameise CPU,Ameise Memory,Radar CPU,Radar Memory
1737224217.1204736,93.9,569.92,68.9,478.02,22.0,58.5,3.0,33.4
1737224219.1325278,95.9,577.82,67.9,479.88,25.0,64.54,3.0,33.4
1737224221.1485696,78.8,570.99,57.8,485.55,20.0,52.04,1.0,33.4
1737224223.158384,78.9,575.23,57.9,477.82,17.0,64.01,4.0,33.4
1737224225.1750624,94.9,575.92,70.9,477.31,22.0,65.21,2.0,33.4
1737224227.1878731,66.0,581.96,51.0,477.31,13.0,71.25,2.0,33.4
1737224229.1946223,63.9,568.18,50.9,482.72,9.0,52.2,4.0,33.26
1737224231.2106314,87.9,580.61,66.9,482.2,19.0,65.15,2.0,33.26
1737224233.2244294,86.9,569.08,60.9,477.31,24.0,58.51,2.0,33.26
1737224235.2484667,88.9,571.03,65.9,479.88,21.0,57.89,2.0,33.26
1737224237.2623029,91.9,576.76,66.9,478.85,23.0,64.65,2.0,33.26
1737224239.2755017,86.9,579.97,63.9,482.2,21.0,64.51,2.0,33.26
1737224241.2943888,90.9,574.01,65.9,482.2,22.0,58.55,3.0,33.26
1737224243.3109257,94.9,562.74,66.9,477.31,24.0,52.17,4.0,33.26
1737224245.3223312,92.0,575.1,65.0,477.31,25.0,64.53,2.0,33.26
1737224247.3349519,92.9,569.06,66.9,477.31,22.0,58.49,4.0,33.26
1737224249.3584356,90.9,568.52,64.9,477.31,24.0,57.95,2.0,33.26
1737224251.3680422,91.9,568.6,65.9,477.31,24.0,58.03,2.0,33.26
1737224253.3783455,76.9,575.01,56.9,477.31,18.0,64.44,2.0,33.26
1737224255.3964312,85.0,576.88,61.0,483.23,22.0,60.39,2.0,33.26
1737224257.4261384,87.9,570.12,64.9,484.78,21.0,52.08,2.0,33.26
1737224259.4394174,94.9,575.17,68.9,477.31,23.0,64.6,3.0,33.26
1737224261.457903,84.9,569.57,61.9,484.26,21.0,52.05,2.0,33.26
1737224263.4668126,98.7,568.47,71.8,477.31,24.9,57.9,2.0,33.26
1737224265.4788153,86.9,568.43,61.9,477.31,22.0,57.86,3.0,33.26
1737224267.4916635,92.9,580.03,68.9,482.2,22.0,64.57,2.0,33.26
1737224269.5039644,88.9,569.24,65.9,477.31,21.0,58.67,2.0,33.26
1737224271.517941,91.0,568.41,66.0,477.31,23.0,57.84,2.0,33.26
1737224273.5296357,98.9,569.16,70.9,477.31,24.0,58.59,4.0,33.26
1737224275.5434394,79.9,569.17,60.9,477.31,17.0,58.6,2.0,33.26
1737224277.5539896,86.9,574.18,62.9,482.46,22.0,58.46,2.0,33.26
1737224279.5674067,92.9,575.14,66.9,477.31,24.0,64.57,2.0,33.26
1737224281.5794082,94.6,570.41,69.7,478.59,22.9,58.56,2.0,33.26
1737224283.5888438,91.9,562.7,67.9,477.31,23.0,52.13,1.0,33.26
1737224285.611773,77.8,577.12,58.9,479.36,18.9,64.5,0.0,33.26
1737224287.620189,70.9,563.79,48.9,478.33,22.0,52.2,0.0,33.26
1737224289.632646,70.9,569.03,47.9,477.31,22.0,58.46,1.0,33.26
1737224291.6427445,72.0,575.76,48.0,477.31,23.0,65.19,1.0,33.26
1737224293.6620286,72.8,580.56,48.9,482.2,22.9,65.1,1.0,33.26
1737224295.6764953,68.8,575.13,45.9,477.31,22.9,64.56,0.0,33.26
1737224297.6880288,72.7,573.89,49.8,482.2,22.9,58.43,0.0,33.26
1737224299.70615,67.8,569.23,45.9,477.31,21.9,58.66,0.0,33.26
1737224301.7269769,70.9,569.23,46.9,477.31,23.0,58.66,1.0,33.26
1737224303.7378533,72.8,568.62,48.9,477.31,23.9,58.05,0.0,33.26
1737224305.7562463,73.9,574.08,48.9,482.2,25.0,58.62,0.0,33.26
1737224307.7673917,76.9,575.68,51.9,477.31,25.0,65.11,0.0,33.26
1737224309.7787538,71.9,567.99,46.9,477.31,25.0,57.42,0.0,33.26
1737224311.7930725,73.8,568.46,50.9,477.31,22.9,57.89,0.0,33.26
1737224313.806584,80.9,570.12,54.9,478.33,25.0,58.53,1.0,33.26
1737224315.8165712,69.9,572.59,46.9,480.91,23.0,58.42,0.0,33.26
1737224317.8299,75.9,580.05,50.9,482.2,25.0,64.59,0.0,33.26
1737224319.8421087,73.9,569.65,49.9,477.82,23.0,58.57,1.0,33.26
1737224321.8582304,75.0,575.75,52.0,484.01,23.0,58.48,0.0,33.26
1737224323.871817,71.9,569.55,49.9,477.82,22.0,58.47,0.0,33.26
1737224325.8834267,71.9,579.93,47.9,481.43,24.0,65.24,0.0,33.26
1737224327.892073,69.9,579.86,46.9,482.72,23.0,63.88,0.0,33.26
1737224329.902488,72.8,580.2,49.8,481.69,23.0,65.25,0.0,33.26
1737224331.9198828,71.0,569.03,48.0,477.82,23.0,57.95,0.0,33.26
1737224333.9320772,71.9,575.72,48.0,477.82,23.9,64.64,0.0,33.26
1737224335.9518733,69.0,581.16,48.0,482.72,21.0,65.18,0.0,33.26
1737224337.9637268,72.9,581.57,49.9,484.26,23.0,64.05,0.0,33.26
1737224339.975439,58.9,563.26,40.9,477.82,18.0,52.18,0.0,33.26
1737224341.9867775,71.9,569.73,47.9,478.08,24.0,58.39,0.0,33.26
